"MEMBER_ID","JTXX_ID","CYXM","CYSFZ","WHCD","ZXSZK","JKZK","CJDJ","CJLB","LDJN","YHZGX","SFSW"
"1063","405","熊贤艳","341502196209103964",,,"01",,,"2","01","1"
"10630","4269","江廉主","220600196212224323",,,"04","四级","02","4","21","1"
"10631","4270","江叹棉","220600195503104378",,,"01",,,"3","01","1"
"10632","4271","江忍伤","220600195812304365",,,"02",,,"3","01","1"
"10633","4272","坚弹英","220600193011214301",,,"02",,,"5","01","1"
"10634","4273","刀六流","220600195303124358",,,"02",,,"3","01","1"
"10635","4273","江立功","220600197305174323",,,"01",,,"2","03","1"
"10636","4273","谭凑襄","220600197411084356",,,"01",,,"2","05","1"
"10637","4273","江媚瞿","220600200902134367",,"03","01",,,"5","07","1"
"10638","4273","江媚凑","220600199711274361",,,"01",,,"2","07","1"
"10639","4274","江立灼","220600196608084240",,,"04","二级","03","3","01","1"
"1064","405","熊酪","341502199701093968",,,"01",,,"2","03","1"
"10640","4274","律诡姥","220600194003314358",,,"02",,,"3","12","1"
"10641","4275","江童弹","220600197305294763",,,"04","二级","01","3","01","1"
"10642","4275","允筋英","220600193406194202",,,"02",,,"5","12","1"
"10643","4276","江唉循","220600195611304270",,,"01",,,"3","01","1"
"10644","4276","江慌姥","220600196508094759",,,"04","四级","01","4","02","1"
"10645","4277","江好锌","220600193605014366",,,"04","三级","01","5","01","1"
"10646","4277","吕筋英","220600193601204357",,,"04","三级","01","5","02","1"
"10647","4278","江圭伤","220600195807144344",,,"04","二级","07","4","01","1"
"10648","4279","江帐惶","220600195608164342",,,"01",,,"3","01","1"
"10649","4279","孛凑英","220600195910284353",,,"02",,,"3","02","1"
"1065","406","达韬惶","341502197510043969",,,"01",,,"2","01","1"
"10650","4279","江围婪","220600200410194304",,"11","01",,,"5","04","1"
"10651","4280","江知惶","220600194411134276",,,"01",,,"3","01","1"
"10652","4280","江柘王","220600199810314349",,,"01",,,"2","07","1"
"10653","4281","江噬府","220600195907084369",,,"01",,,"2","01","1"
"10654","4281","东襄苗","220600197206234351",,,"02",,,"3","02","1"
"10655","4281","江迎酚","220600200611164347",,"04","01",,,"5","03","1"
"10656","4281","江雪苗","220600199511054356",,,"01",,,"2","04","1"
"10657","4281","江壹桐","220600201201064356",,"03","01",,,"5","04","1"
"10658","4282","江小栽","22060019660711433X",,,"04","二级","01","3","01","1"
"10659","4283","允羌姥","220600197201174353",,,"01",,,"2","01","1"
"1066","406","达量量","341502198506143953",,,"04","一级","03","4","02","1"
"10660","4283","江柬涸","220600199903174365",,"24","01",,,"2","03","1"
"10661","4284","江噬府","220600196806204362",,,"01",,,"2","01","1"
"10662","4284","江且紊","220600200108274362",,,"01",,,"2","03","1"
"10663","4284","江棉菱","220600199605234307",,"26","01",,,"2","04","1"
"10664","4285","江流锌","220600195306234245",,,"02",,,"3","01","1"
"10665","4285","江海局","220600197508064343",,,"01",,,"2","03","1"
"10666","4285","江寄宝","220600200504264369",,"06","01",,,"5","07","1"
"10667","4285","江兼蚂","22060020000621430X",,,"01",,,"2","08","1"
"10668","4286","江悠缸","220600195202114361",,,"02",,,"3","01","1"
"10669","4286","长柜英","220600195309054354",,,"01",,,"3","02","1"
"1067","406","达综了","341502200812163960",,"03","01",,,"5","03","1"
"10670","4287","江缔伤","220600194107234360",,,"02",,,"5","01","1"
"10671","4287","江圭灼","220600197702184365",,,"04","三级","03","2","03","1"
"10672","4288","江唉惶","22060019480706426X",,,"04","二级","02","5","01","1"
"10673","4288","毛姥费","220600195009074281",,,"02",,,"3","02","1"
"10674","4289","孛潭英","220600196104234356",,,"01",,,"2","01","1"
"10675","4289","江修辕","220600200512184350",,"06","01",,,"5","08","1"
"10676","4290","谭诡谅","220600194304144356",,,"04","三级","01","3","01","1"
"10677","4291","尔小譬","22060019590425422X",,,"01",,,"2","01","1"
"10678","4291","允海襄","220600196803234689",,,"04","一级","07","3","02","1"
"10679","4291","尔坤","220600199710054340",,,"01",,,"2","03","1"
"1068","406","达雁雁","34150220070511395X",,"03","04","二级","03","5","04","1"
"10680","4292","麴样都矣","220600194101164365",,,"04","四级","01","5","01","1"
"10681","4293","麴样苍糟","220600194209234249",,,"02",,,"3","01","1"
"10682","4293","江锋英","220600195003064306",,,"01",,,"5","02","1"
