"ID","AAA027","XM","SFZH","BMID","XXDZ","YLFZE","KBFY","JBYBZF","DBBX","NBX","WBX","YLJZ","CZDD","DDJGCD","GRZF"
"5174","360502","野苗锯","220600195209261356","284","山东省德州市陵城区前门大街974号","35014","34214","12936","1277","0","0","0","0","0","20861"
"5175","360502","闻小苗","220600195802221355","290","山东省德州市陵城区前门大街288号","46787","30980","18168","0","0","0","0","0","0","28648"
"5161","360502","律尹姥","220600196710071358","288","山东省德州市陵城区前门大街444号","90185","52595","31375","1289","0","0","0","61","0","57550"
"5162","360502","哈嵌绣","220600197605251351","288","山东省德州市陵城区前门大街444号","169330","65042","38605","4372","0","0","0","0","0","126413"
"5163","360502","熊衰灼","220600195808161365","288","山东省德州市陵城区前门大街444号","127333","108804","63998","15394","0","0","0","0","0","48001"
"5170","360502","孛夜襄","340704196806093357","284","山东省德州市陵城区前门大街974号","60724","55349","27605","5495","0","0","0","0","0","27684"
"5171","360502","孛费绣","220600195505201358","284","山东省德州市陵城区前门大街974号","38376","30658","17543","0","0","0","0","0","0","20863"
"5172","360502","闻小淤","220600197012011328","282","山东省德州市陵城区前门大街238号","29320","17874","9872","0","0","0","0","0","0","19477"
"5176","360502","熊恩伤","220600194006131362","284","山东省德州市陵城区前门大街974号","59878","52998","30947","1741","0","0","0","0","0","27250"
"5177","360502","闻斡府","220600196912281345","272","山东省德州市陵城区前门大街731号","152636","132352","76831","23574","2731","4338","9224","0","0","36088"
"5178","360502","闻楹","220600200509181300","272","山东省德州市陵城区前门大街731号","81709","24434","9408","0","0","0","0","0","0","72331"
"5179","360502","吕筋流","220600195311081351","286","山东省德州市陵城区前门大街871号","132659","104322","60971","14615","0","0","0","92","0","57071"
"5180","360502","熊衰谅","220600195409271356","280","山东省德州市陵城区前门大街920号","146988","117367","66568","18990","0","0","0","0","0","61490"
"5181","360502","尔堞挟","220600201504071342","286","山东省德州市陵城区前门大街871号","66991","32426","18650","0","0","0","0","61","0","48340"
"5182","360502","孛小苗","220600195705211307","280","山东省德州市陵城区前门大街920号","63341","31559","24869","0","0","0","0","0","0","38502"
"5183","360502","闻知孟","220600194909131363","280","山东省德州市陵城区前门大街920号","83290","45432","26407","0","0","0","0","0","0","56912"
"5184","360502","闻恋恋","220600195706031340","272","山东省德州市陵城区前门大街731号","96965","67198","39899","11534","0","10936","11876","0","0","22840"
"5185","360502","孛搀襄","220600197108041396","286","山东省德州市陵城区前门大街871号","27630","23375","7193","0","0","0","0","0","0","20467"
"5186","360502","闻且雁","220600200207051383","280","山东省德州市陵城区前门大街920号","56839","33238","11930","0","0","0","0","0","0","44938"
"5187","360502","邹小英","220600195511121354","272","山东省德州市陵城区前门大街731号","117764","103849","57570","23872","2572","2501","10133","0","0","21268"
"5188","360502","粟小筋","220600195807111307","289","山东省德州市陵城区前门大街446号","38405","34188","19661","0","0","0","0","0","0","18774"
"5189","360502","宓筋钮","220600194504091359","289","山东省德州市陵城区前门大街446号","97541","38750","22830","0","0","0","0","0","0","74741"
"5190","360502","熊活譬","220600196304201348","281","山东省德州市陵城区前门大街314号","49838","38602","19072","228","0","0","0","0","0","30599"
"5191","360502","其知寂","220600197708131344","281","山东省德州市陵城区前门大街314号","135914","45942","35992","0","0","0","0","0","0","99953"
"5192","360502","野圣矣","220600195104191347","281","山东省德州市陵城区前门大街314号","46766","41976","24334","0","0","0","0","0","0","22463"
"5193","360502","卫衰譬","22060019650629137X","281","山东省德州市陵城区前门大街314号","77530","68378","39311","5951","0","0","0","0","0","32329"
"5194","360502","孛贤苗","220600197305161354","289","山东省德州市陵城区前门大街446号","72817","51822","30241","1458","0","0","0","0","0","41178"
"5195","360502","野嵌绣","220600197606121356","281","山东省德州市陵城区前门大街314号","50260","37270","21942","0","0","0","0","0","0","28348"
"5196","360502","屠襄府","220600196208281376","289","山东省德州市陵城区前门大街446号","45392","41204","22574","1838","0","0","0","0","0","21041"
"5197","360502","闻恩流","220600194007221351","289","山东省德州市陵城区前门大街446号","53182","39186","22660","0","0","0","0","0","0","30552"
"5198","360502","班隐糙","220600194306161360","281","山东省德州市陵城区前门大街314号","31531","25070","12617","0","0","0","0","0","0","18944"
"5199","360502","坚衰姥","220600196411101385","281","山东省德州市陵城区前门大街314号","32618","26989","8350","0","0","0","0","0","0","24299"
"5200","360502","其筋流","220600194411291351","289","山东省德州市陵城区前门大街446号","45820","30652","17971","0","0","0","0","0","0","27878"
"4992","360502","江苗流","220600196712216207","323","山东省德州市陵城区前门大街340号","53154","33286","19552","0","0","0","0","0","0","33634"
"4993","360502","允衰府","220600195211126241","325","山东省德州市陵城区前门大街27号","54902","42044","24374","0","0","0","0","0","0","30558"
"4994","360502","吕府汞","220600197208056202","323","山东省德州市陵城区前门大街340号","105402","84347","50189","9005","0","0","0","0","0","46268"
"4995","360502","达小譬","220600196705296245","323","山东省德州市陵城区前门大街340号","40776","18974","14802","0","0","0","0","0","0","26005"
"4996","360502","同小渺","220600196609205251","323","山东省德州市陵城区前门大街340号","32874","24744","14426","0","0","0","0","0","0","18478"
"4997","360502","江滤钮","220600194211186258","323","山东省德州市陵城区前门大街340号","83671","65776","38614","4951","257","686","785","0","0","38528"
"4998","360502","毛锯费","22060019811202530X","320","山东省德州市陵城区前门大街154号","30845","18683","10789","0","0","0","0","0","0","20084"
"4999","360502","熊贤茂","220600195010266205","325","山东省德州市陵城区前门大街27号","38959","30776","18046","0","0","0","0","0","0","20944"
"5000","360502","吕牛弹","220600195301086263","325","山东省德州市陵城区前门大街27号","167378","129582","77329","19861","0","0","0","0","0","70248"
"5001","360502","吕寺府","220600196205036279","325","山东省德州市陵城区前门大街27号","97234","65027","25645","12139","0","0","0","0","0","59509"
"5002","360502","笃莫绣","220600195506276255","325","山东省德州市陵城区前门大街27号","43177","28892","16915","0","0","0","0","0","0","26291"
"5003","360502","同锐绣","220600194402146259","325","山东省德州市陵城区前门大街27号","128982","107876","42401","27796","0","0","0","0","0","58847"
"5004","360502","候寄围","220600201610305376","320","山东省德州市陵城区前门大街154号","60452","31969","12421","6496","0","6828","9841","0","0","24986"
"5005","360502","熊廉襄","220600196902255194","320","山东省德州市陵城区前门大街154号","66812","48217","28079","593","0","0","0","0","0","38201"
"5006","360502","寇横绣","22060019701208528X","326","山东省德州市陵城区前门大街506号","180616","125657","59638","28122","0","0","0","0","0","92916"
"5007","360502","毛筋绣","220600196506266254","326","山东省德州市陵城区前门大街506号","36614","30636","16666","0","0","0","0","0","0","19979"
"5008","360502","力筋逐","220600194810136260","326","山东省德州市陵城区前门大街506号","108053","86452","49291","10806","0","0","0","0","0","48016"
"5009","360502","力依融","220600194004176268","326","山东省德州市陵城区前门大街506号","44490","35684","20990","0","0","0","0","0","0","23530"
"5010","360502","江小譬","220600195608076246","326","山东省德州市陵城区前门大街506号","85279","59448","35249","3030","0","0","0","0","0","47060"
"5011","360502","寇漫绣","220600195403185254","326","山东省德州市陵城区前门大街506号","171280","63166","37480","3922","0","0","0","0","0","129938"
"5012","360502","坚廉襄","220600195602256297","320","山东省德州市陵城区前门大街154号","44099","30906","24572","0","0","0","0","0","0","19556"
"5013","360502","尔反英","220600194012266255","320","山东省德州市陵城区前门大街154号","38864","33468","19661","0","0","0","0","0","0","19232"
"5014","360502","其苗襄","220600197001235254","326","山东省德州市陵城区前门大街506号","40889","27773","16243","0","0","0","0","0","0","24676"
"5015","360502","江苗淤","220600197409236242","326","山东省德州市陵城区前门大街506号","237520","89006","65392","14215","16108","19519","10610","0","0","111827"
"5016","360502","泰漫绣","22060019481026625X","327","山东省德州市陵城区前门大街64号","70552","55415","32887","2027","0","0","0","0","0","35698"
"5017","360502","印姥哲","220600194806176251","327","山东省德州市陵城区前门大街64号","52057","36947","21749","0","0","0","0","0","0","30338"
"5018","360502","熊诡襄","220600196503166282","327","山东省德州市陵城区前门大街64号","88337","58391","34183","12313","1518","8350","8975","0","0","23149"
"5019","360502","卫襄貌","22060019540720626X","322","山东省德州市陵城区前门大街866号","51955","45926","27136","0","0","0","0","0","0","24850"
"5020","360502","江诡英","220600196206026259","327","山东省德州市陵城区前门大街64号","37097","31780","18648","0","0","0","0","0","0","18479"
"5021","360502","卷凑壕","220600197812066255","322","山东省德州市陵城区前门大街866号","37991","31958","17891","0","0","0","0","0","0","20129"
"5022","360502","吕流襄","220600195405186250","322","山东省德州市陵城区前门大街866号","129628","82534","49351","8419","0","0","0","0","0","71916"
"5023","360502","力埠流","220600195209286254","327","山东省德州市陵城区前门大街64号","38984","25938","15143","0","0","0","0","0","0","23872"
"5024","360502","坚凑英","220600193407215255","322","山东省德州市陵城区前门大街866号","55886","36686","28972","0","0","0","0","0","0","26945"
"5025","360502","达芽堵","220600195106076262","327","山东省德州市陵城区前门大街64号","53843","46354","25313","1423","0","0","0","92","0","27103"
"5026","360502","尔贤汞","220600195205186256","327","山东省德州市陵城区前门大街64号","50131","41024","22898","1554","0","0","0","0","0","25738"
"5027","360502","力苗姥","220600197506185280","330","山东省德州市陵城区前门大街895号","52706","41677","32964","0","0","0","0","0","0","19772"
"5028","360502","敏剃橡","220600195309306267","330","山东省德州市陵城区前门大街895号","107513","83126","47425","9931","0","0","0","0","0","50218"
"5029","360502","死渺姥","220600194408036202","330","山东省德州市陵城区前门大街895号","48828","42586","25132","0","0","0","0","0","0","23726"
"5030","360502","班垂府","220600196803256247","330","山东省德州市陵城区前门大街895号","44670","26472","14918","0","0","0","0","0","0","29782"
"5031","360502","吕反英","220600195705016202","330","山东省德州市陵城区前门大街895号","59196","50420","31864","0","0","0","0","0","0","27362"
"5032","360502","针贤英","220600193807316258","330","山东省德州市陵城区前门大街895号","58460","51025","28468","2045","0","0","0","0","0","28009"
"5033","360502","卷筋府","220600197205246246","330","山东省德州市陵城区前门大街895号","29188","23970","10962","0","0","0","0","0","0","18256"
"5034","360502","达貌圣","220600194111166268","327","山东省德州市陵城区前门大街64号","39726","20195","15778","0","0","0","0","0","0","23978"
"5035","360502","吕小羌","220600195901106248","330","山东省德州市陵城区前门大街895号","56317","48367","28601","370","0","0","0","0","0","27407"
"5036","360502","死帅府","220600196812196266","328","山东省德州市陵城区前门大街0号","39029","31088","18233","0","0","0","0","0","0","20826"
"5037","360502","和绣英","220600193408106202","330","山东省德州市陵城区前门大街895号","59462","52741","30793","6661","0","0","0","0","0","22068"
